Symbol,Last_Price,Industry,Sector
BABA,155.73,Internet Retail,Consumer Cyclical
PSMT,155.68,Discount Stores,Consumer Defensive
CRAI,155.22,Consulting Services,Industrials
NIC,155.19,Banks - Regional,Financial Services
GILD,154.98,Drug Manufacturers - General,Healthcare
BMI,154.88,Scientific & Technical Instruments,Technology
FSV,154.65,Real Estate Services,Real Estate
TJX,154.46,Apparel Retail,Consumer Cyclical
PJT,154.24,Capital Markets,Financial Services
IPGP,153.91,Semiconductor Equipment & Materials,Technology
DG,153.84,Discount Stores,Consumer Defensive
TPR,153.8,Luxury Goods,Consumer Cyclical
WTFC,153.74,Banks - Regional,Financial Services
ICE,152.28,Financial Data & Stock Exchanges,Financial Services
AER,150.43,Rental & Leasing Services,Industrials
BDC,149.62,Communication Equipment,Technology
MHO,149.58,Residential Construction,Consumer Cyclical
STZ,149.3,Beverages - Brewers,Consumer Defensive
ENVA,149.12,Credit Services,Financial Services
DVA,148.95,Medical Care Facilities,Healthcare
INSM,148.75,Biotechnology,Healthcare
DXPE,148.55,Industrial Distribution,Industrials
XOM,148.45,Oil & Gas Integrated,Energy
EMR,148.13,Specialty Industrial Machinery,Industrials
GPC,147.16,Auto Parts,Consumer Cyclical
FUTU,146.72,Capital Markets,Financial Services
APH,146.72,Electronic Components,Technology
HWKN,146.61,Specialty Chemicals,Basic Materials
EXPD,146.5,Integrated Freight & Logistics,Industrials
NOVT,146.39,Scientific & Technical Instruments,Technology
NTRS,146.38,Asset Management,Financial Services
EXR,146.36,REIT - Industrial,Real Estate
IHG,146.13,Lodging,Consumer Cyclical
BFC,146.0,Banks - Regional,Financial Services
WPM,145.9,Gold,Basic Materials
CPA,145.87,Airlines,Industrials
SANM,145.81,Electronic Components,Technology
DTE,144.94,Utilities - Regulated Electric,Utilities
ICUI,144.9,Medical Instruments & Supplies,Healthcare
CRUS,144.62,Semiconductors,Technology
CFR,144.48,Banks - Regional,Financial Services
WDAY,144.42,Software - Application,Technology
IDA,144.26,Utilities - Regulated Electric,Utilities
